Task #,Driver,Forklift,Workcenter,Part No,Status,Name,Creation Time,Start Time,End Time,Duration (m:s),Distance
10673,Linde 17,Linde 17,Assembly-17,74110-T20-A100-HCM,Completed,F/G Put Away,11/28/22 07:55 AM,11/28/22 07:58 AM,11/28/22 07:58 AM,00:01,0
10672,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 07:54 AM,11/28/22 08:08 AM,11/28/22 08:16 AM,07:26,0
10671,Linde 11,Linde 11,Assembly-1,84500-T20-A110-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 07:52 AM,11/28/22 08:06 AM,11/28/22 08:06 AM,00:01,0
10670,Linde 17,Linde 17,Assembly-16,74110-T20-A000-HCM,Completed,F/G Put Away,11/28/22 07:51 AM,11/28/22 07:53 AM,11/28/22 07:53 AM,00:01,0
10669,Linde 17,Linde 17,Assembly-10,71190-T20-A610-M1-NH696L-HCM,Completed,F/G Put Away,11/28/22 07:51 AM,11/28/22 07:52 AM,11/28/22 07:52 AM,00:02,0
10668,Linde 11,Linde 11,Assembly-4,84151-T20-A110-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 07:50 AM,11/28/22 08:06 AM,11/28/22 08:06 AM,00:02,0
10667,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 07:49 AM,11/28/22 07:50 AM,11/28/22 07:50 AM,00:01,0
10666,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C2-NH900L-WIP,Completed,Replenishment,11/28/22 07:49 AM,11/28/22 08:04 AM,11/28/22 08:05 AM,00:49,0
10665,Linde 11,Linde 11,Assembly-5,84101-T20-A110-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 07:48 AM,11/28/22 08:02 AM,11/28/22 08:02 AM,00:02,0
10664,Linde 11,Linde 11,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 07:48 AM,11/28/22 08:01 AM,11/28/22 08:02 AM,00:24,0
10663,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 07:47 AM,11/28/22 07:59 AM,11/28/22 08:24 AM,25:18,2284
10662,Linde 15,Linde 15,Assembly-4,84151-T20-A110-21-NH900L-WIP,Completed,Replenishment,11/28/22 07:46 AM,11/28/22 07:59 AM,11/28/22 07:59 AM,00:01,0
